       200		    15,604		0,05		     0,046
       100		    16,358		0,10		     0,090
        66		    17,362		0,15		     0,136
        50		    18,413		0,20		     0,180
        40		    19,682		0,25		     0,219
        33		    20,477		0,30		     0,265
        28		    22,904		0,35		     0,319
        25		    24,017		0,40		     0,358
        22		    25,649		0,45		     0,406
        20		    28,544		0,50		     0,449
        18		    30,164		0,55		     0,488
        16		    34,154		0,60		     0,560
        15		    35,853		0,65		     0,579
        14		    38,521		0,70		     0,617
        13		    43,328		0,75		     0,653
        12		    48,642		0,80		     0,705
        11		    56,476		0,85		     0,747
        11		    52,015		0,90		     0,745
        10		    62,689		0,95		     0,773
