       200		    16,320		0,05		     0,045
       100		    17,327		0,10		     0,090
        66		    18,380		0,15		     0,139
        50		    19,737		0,20		     0,179
        40		    20,813		0,25		     0,221
        33		    22,102		0,30		     0,268
        28		    24,312		0,35		     0,319
        25		    25,768		0,40		     0,360
        22		    27,740		0,45		     0,399
        20		    29,942		0,50		     0,442
        18		    32,810		0,55		     0,490
        16		    34,984		0,60		     0,535
        15		    38,904		0,65		     0,579
        14		    43,177		0,70		     0,616
        13		    45,623		0,75		     0,662
        12		    51,525		0,80		     0,694
        11		    59,898		0,85		     0,737
        11		    56,875		0,90		     0,716
        10		    66,461		0,95		     0,734
